max_number;door_length;wall_length;area;nb_door;nb_wall;cooling;heating
533;185;1036;1000;3;6;11254;11304
475;42;392;1000;1;4;13620;13868
632;0;2076;1000;0;6;14669;15872
476;74;396;1000;1;4;14640;14745
474;289;2248;1000;8;36;16897;16534
1269;0;950;1000;0;4;18579;18404
475;30;1428;1600;1;10;18945;18381
411;18;742;2000;1;8;19704;18510
789;197;1493;2000;4;12;20405;20443
598;286;1778;2000;4;8;20279;19209
775;380;2959;2000;2;12;21168;20599
578;44;1902;2000;1;14;21935;20383
279;252;1206;2000;5;10;23025;21267
583;257;2017;2000;3;14;23591;23072
546;414;2190;2000;4;8;23358;22419
530;455;2585;2400;5;12;24162;23391
365;158;1133;2400;3;7;24141;22546
726;542;2563;3000;4;11;24104;22551
503;234;1595;3000;4;11;26001;26043
652;61;1676;3000;1;14;24885;23254
554;61;2108;3000;2;15;25115;23324
289;319;1356;3000;6;13;26127;24205
1780;1139;6030;3000;4;12;26089;24244
923;721;3755;3000;4;13;25991;24464
1075;387;3256;3000;4;12;26230;23876
446;88;1312;3000;3;10;27165;27261
778;216;2510;3000;3;19;27048;24860
1045;780;4294;3000;3;10;26606;24561
370;198;1610;3000;3;11;27177;24537
651;358;1979;3000;4;14;28058;26049
1293;547;4422;3000;4;14;27618;24817
346;288;1437;3000;4;11;28045;26116
1104;490;3151;3000;5;13;28509;26495
523;360;1525;3000;5;10;29963;28436
284;152;1033;3000;4;17;30506;27447
610;86;1781;3200;2;9;30916;28667
581;499;2820;3200;4;16;30215;27398
1206;679;4048;3200;4;8;30637;27955
1213;297;3867;3200;2;12;30828;29823
381;122;1293;3200;4;10;31857;29732
470;285;1686;3200;4;8;31782;28553
388;309;1424;3200;6;13;30883;27496
372;258;1410;3200;5;8;31685;27816
231;28;394;3200;2;7;31321;29004
420;106;733;3200;3;11;31480;28375
436;92;2091;3200;2;9;31275;28465
371;137;1095;3200;4;9;31919;28623
598;350;2421;3200;4;10;32213;28721
384;129;1560;4000;3;11;32448;29488
385;210;1150;4000;6;18;32434;29215
291;128;1066;4000;3;9;33238;29656
360;281;1230;4000;5;14;33148;29024
944;735;3876;4000;5;12;33081;29219
492;202;1526;4000;5;15;33938;30317
1157;626;3577;4000;5;17;34785;30592
464;165;1723;4000;3;20;35028;32312
300;284;1415;4000;5;18;35286;31596
506;370;1843;4000;5;18;35462;32705
472;300;1685;4000;5;17;35087;30349
718;234;3152;4000;4;24;35640;31319
231;266;913;4000;7;16;35207;30827
606;555;2832;4000;6;9;35785;31338
360;272;1540;4000;5;9;36080;31657
514;320;1823;4000;5;19;35648;31829
373;192;1431;4000;4;19;36735;32538
309;237;1218;4000;5;16;36610;31957
541;412;2472;4000;5;9;36606;31779
309;104;1099;4000;3;19;36930;32853
777;345;2779;4000;4;14;36945;32182
443;254;2135;4000;4;15;37062;32583
314;408;1506;4000;6;17;36451;31353
277;260;1313;4000;6;14;36908;32647
1870;955;7591;4000;4;18;37479;32797
1031;507;3585;4000;5;9;39384;36912
385;349;1249;4000;6;13;39377;35723
796;551;3054;4000;6;20;38064;33417
373;154;1300;4000;3;12;39907;37053
463;388;1893;4000;7;18;39003;33696
1767;776;6476;4000;4;16;38735;34332
1012;436;3480;4000;4;21;38787;34281
534;381;2163;4000;6;14;39360;34328
568;646;2341;4000;7;10;39511;34750
422;173;1220;4000;4;14;39529;34416
427;276;1476;4000;5;14;40272;34447
612;306;1978;4000;5;13;39950;35640
1214;529;3986;4000;4;14;40744;35673
622;518;2324;4000;8;11;40895;37177
1322;1004;4847;4000;9;25;40472;34802
1118;159;3258;4000;2;15;40579;35381
586;349;2187;4000;4;15;40703;35650
504;381;1955;4000;6;15;40431;34846
309;218;1291;4000;5;18;40648;35109
1210;663;4413;4000;5;20;41007;36051
551;397;1957;4000;5;8;40682;35560
377;419;1570;4000;8;21;40729;36522
559;172;2056;4000;1;16;40951;35520
382;245;931;4000;5;16;41073;36379
394;293;1405;4000;5;17;41568;35487
384;244;1379;4000;5;11;41017;36590
233;202;926;4780;9;10;41785;36002
395;211;1504;4800;5;12;41403;36671
338;252;1632;4800;6;10;41288;36137
372;305;1682;4800;7;24;42157;38175
215;126;806;4800;5;8;42192;36755
253;113;1050;4800;4;22;42421;37188
327;253;1515;4800;5;9;41461;36704
516;620;2321;4800;8;23;41783;37212
1091;342;3774;4800;4;15;41394;35078
385;306;1365;4800;8;12;42566;36490
371;202;1600;4800;4;13;43323;39893
945;551;3511;4800;6;18;42210;36466
520;253;2562;4800;5;14;41815;36624
386;345;1750;4800;7;10;41674;35899
385;288;1838;4800;5;10;43290;38124
633;264;2376;4800;4;21;42726;36729
315;254;1300;4800;7;13;42437;37022
276;168;1210;4980;4;19;42594;37987
328;202;1362;4980;5;20;42622;37399
449;603;1675;5000;10;20;42652;37299
381;576;1718;5000;8;21;43219;38851
508;407;2776;5000;6;25;43745;37625
776;301;2712;5000;4;16;43788;38140
384;251;1500;5000;5;19;43320;38578
371;189;1295;5000;5;18;43937;37709
249;161;781;5000;7;24;43068;37314
357;443;1382;5000;8;26;43359;36614
504;104;1795;5000;3;23;44025;37743
371;180;1279;5000;5;20;43340;37652
1029;545;3211;5000;4;16;43589;38283
540;208;2325;5000;3;18;43443;36979
1243;1126;5357;5000;7;18;44584;38465
306;200;1132;5000;5;16;43688;38118
375;226;1539;5000;3;16;43690;37987
417;164;910;5000;6;18;43927;39617
983;884;4229;5000;5;16;44471;38308
548;397;1803;5000;6;16;44559;38100
1673;1984;8241;5000;6;16;44914;38927
778;797;3097;5000;7;18;44190;39309
462;312;2023;5000;4;17;44301;39170
369;311;1305;5000;8;18;44803;38381
623;435;2066;5000;7;19;44876;38445
330;325;1210;5000;7;20;45005;38814
418;294;1739;5000;4;16;44376;38452
898;308;3206;5000;5;20;44405;38965
391;299;1023;5000;9;16;44761;37747
571;311;2604;5000;3;18;44964;38290
419;277;1460;5000;5;18;44916;39361
1241;878;4863;5000;6;19;45224;39474
384;206;1459;5000;5;18;45185;39581
1684;2200;8240;5000;10;19;45067;39052
364;233;1683;5000;4;20;47005;40781
544;544;2356;5000;7;18;45902;39638
580;398;2417;5000;6;23;46180;39445
409;406;1357;5000;5;17;46126;39786
1136;554;3811;5000;5;18;46368;39758
588;342;2274;5000;5;19;46172;40017
709;404;2622;5000;6;18;46637;40461
421;419;1549;5000;7;18;45844;39366
391;442;1808;5000;7;19;45920;38986
475;170;1601;5000;3;18;45933;38954
634;683;2626;5000;7;18;46237;39424
475;250;1720;5000;5;23;46844;40269
385;278;1624;5000;6;22;46909;40768
339;260;1465;5600;7;13;46127;38784
482;467;2087;5600;8;12;46415;40344
383;492;2186;5600;10;11;46686;40442
394;273;1345;5600;7;19;47330;40484
387;234;1285;5600;7;12;47004;40842
1317;677;4126;5600;6;10;46816;40157
530;306;1887;5600;6;10;46872;39929
1837;1440;7833;5600;6;27;47160;40593
1123;633;4252;5600;6;12;46951;39859
953;719;3562;5600;7;25;48199;42407
1193;1216;7016;5600;5;12;48579;41515
524;294;2008;5600;6;11;49021;42202
352;210;1391;5600;5;10;47988;40422
380;269;1531;5600;6;23;47622;39749
288;231;1127;5600;8;16;48459;41034
472;408;2470;5600;7;14;48485;43770
1748;1653;6489;5600;7;21;49069;41109
372;246;1590;6000;5;24;48551;40564
397;253;1389;6000;7;21;49214;42594
470;233;1617;6000;5;20;49264;42174
365;359;1810;6000;6;19;48500;41702
481;390;1911;6000;6;21;48975;42672
326;355;1403;6000;9;22;48198;41160
1267;701;4401;6000;6;22;48603;42437
338;242;1639;6000;6;20;48894;41773
376;271;1667;6000;6;22;49633;43051
377;365;1893;6000;6;20;49694;41665
406;421;1786;6000;8;23;49410;41565
632;350;2487;6000;5;19;49589;41631
431;256;1306;6000;7;24;49787;42592
1714;1434;6568;6000;8;22;49797;42336
474;403;2112;6000;6;21;50515;42710
346;207;1269;6000;6;23;50191;42482
1207;492;4279;6000;6;24;50557;42568
373;450;1841;6000;7;21;49767;42864
569;138;2341;6000;4;30;50168;42768
1188;1534;4178;6000;9;17;51494;44353
371;428;1604;6000;8;22;51274;45962
385;458;1824;6000;9;23;51000;42667
460;329;1710;6000;6;19;51220;44841
864;507;3210;6000;6;21;51259;43790
304;201;1460;6000;5;18;50687;41991
382;257;1578;6000;6;22;51050;42800
1349;1156;6271;6000;6;22;51438;43600
563;414;1707;6000;9;22;51769;45125
509;401;2183;6000;6;24;50773;43677
994;754;4058;6000;5;21;50769;42675
371;235;1538;6000;5;20;50968;42618
337;550;1613;6000;8;24;51095;43580
622;554;2908;6000;6;20;51108;43727
404;243;1502;6000;6;22;51727;43621
545;327;1693;6000;9;22;51801;44306
412;236;1612;6000;5;20;51847;44406
1204;978;4472;6000;8;23;51341;43864
366;248;1397;6000;8;27;51651;43772
404;204;1508;6000;6;29;51545;43843
1409;640;5307;6000;5;20;52285;44057
380;274;1562;6000;5;18;51466;42742
1887;2461;9369;6000;9;21;53439;46820
592;357;2693;6000;6;24;51497;43753
933;832;4657;6000;7;26;52016;43046
520;685;2774;6000;8;21;52254;45037
1241;1484;6678;6000;6;24;52567;44010
377;281;1579;6000;6;20;53183;45829
533;350;2158;6000;6;20;52287;44437
379;214;1497;6000;5;25;52083;44615
335;198;1201;6000;6;19;52110;44237
377;351;1679;6000;8;22;52324;43623
1160;585;4218;6000;6;21;51663;42946
361;164;1306;6000;5;22;52069;43896
792;406;2958;6000;5;22;53152;44142
1203;804;4327;6000;8;20;52078;43170
1582;1025;8445;6000;6;25;52907;44601
609;430;2419;6000;5;20;53511;45842
581;466;2596;6000;6;19;52920;44476
1053;714;3390;6000;6;19;52586;44696
492;300;1968;6000;6;23;52982;46019
543;617;2393;6000;7;19;53879;46751
354;478;1662;6000;8;20;52526;43612
416;294;1566;6000;6;22;52963;44589
408;264;1638;6000;6;20;53282;46041
413;125;1940;6000;3;24;54112;46131
434;577;2255;6000;8;23;54298;45341
787;472;3701;6000;4;29;53396;44869
378;326;1594;6000;8;23;53262;45133
427;277;1644;6000;6;19;53731;45761
470;271;1806;6000;5;20;53242;45208
378;291;1682;6000;6;19;53784;45836
612;339;2268;6000;5;19;53521;44416
203;186;693;6000;8;17;55023;48094
610;288;2296;6000;7;21;53894;45097
274;226;1106;6000;6;21;54398;44983
250;301;1434;6000;7;22;55329;47832
450;422;1991;6000;6;24;54876;44785
571;614;2761;6000;6;20;54316;46206
361;243;1452;6000;5;23;54102;45530
1146;739;3876;6000;6;24;54822;46282
501;261;2019;6000;5;23;54582;46208
900;1100;6022;6000;8;29;55179;45921
1144;261;4025;6000;3;24;55644;47103
629;372;2258;6000;6;21;55692;46802
380;306;1416;6000;7;19;54840;46067
1079;1097;4669;6000;8;21;54365;46203
552;615;2981;6000;8;24;54932;46770
1205;681;4636;6000;6;27;55497;46319
437;286;1630;6000;7;19;55527;46753
350;107;1276;6000;2;25;56867;48680
388;316;1501;6000;7;21;58165;53535
390;435;2024;6000;8;26;57259;50109
343;157;1281;6000;6;25;56017;46916
380;319;1565;6000;7;22;55726;47200
358;260;1119;6000;7;25;55878;47474
1378;1278;5789;6000;8;23;55786;46814
466;470;2149;6000;7;19;55944;46078
1881;1679;6913;6000;7;20;56420;48112
299;364;1553;6000;7;19;56829;46780
372;304;1544;6000;7;21;57400;48027
413;490;1552;6000;10;20;56874;48728
328;292;1265;6000;7;22;57985;48364
386;629;2119;6000;11;20;57492;47526
485;299;1993;6000;5;24;56963;47668
569;690;2586;6400;7;19;56975;47890
399;322;1930;6400;7;14;57054;46986
368;306;1758;6400;6;12;57055;47825
544;727;3082;6400;8;11;57640;47197
512;457;2858;6400;9;11;57932;48438
403;172;1354;6400;7;17;58018;49548
376;285;1629;6400;6;23;56751;47398
373;512;2332;6400;6;11;57620;48576
633;396;2595;6400;6;12;58664;49962
282;187;955;6400;9;15;57597;47592
411;779;2606;6400;14;37;58204;48054
361;401;1863;6400;7;25;58625;48478
530;716;2772;6400;12;30;58935;48942
621;600;2570;6400;11;13;59324;49862
399;355;2107;6400;6;15;58402;47781
385;492;1783;6400;11;13;58711;49350
541;465;2640;6400;6;25;58800;48827
377;135;1479;6400;4;10;59102;50976
487;486;1944;6400;9;12;59352;49509
305;172;1246;6400;6;12;58533;48140
629;819;2731;6400;10;11;58906;48691
394;271;1647;6400;7;12;59616;50267
394;217;1366;6400;7;12;59744;49584
368;552;2119;6400;9;14;60364;49675
388;510;2239;6980;11;25;59996;49410
368;366;1501;7000;9;23;59952;49156
363;360;1966;7000;7;23;59709;48953
395;207;1474;7000;5;25;60168;49704
1170;858;4663;7000;7;30;60201;50241
1138;637;4856;7000;7;28;60887;52141
1335;596;4878;7000;5;26;59881;49690
512;267;1937;7000;8;31;61187;50041
375;365;1745;7000;8;22;60749;49782
404;335;1717;7000;6;29;61032;49966
334;280;1434;7000;7;22;61113;49896
1091;1818;5523;7000;11;25;60346;51026
587;680;2952;7000;10;26;62116;52018
1245;1201;6513;7000;7;26;60414;49361
384;444;1630;7000;10;25;61185;50124
386;258;1500;7000;7;28;62022;51713
1272;764;4675;7000;6;24;61069;51616
1295;692;4540;7000;6;27;61489;50326
378;273;1541;7000;7;23;62093;51955
1808;1212;7205;7000;6;22;62010;51553
371;306;1611;7000;8;32;61707;51300
603;688;2809;7000;8;22;62728;51387
374;808;2332;7000;13;23;61845;51262
354;200;1121;7000;7;26;63150;53781
910;429;3739;7000;4;24;62658;51172
377;709;1996;7000;11;23;63122;52894
633;463;2961;7000;8;25;62078;51199
632;458;2868;7000;6;24;62205;51236
383;289;1665;7000;7;23;62336;51463
389;186;921;7000;6;24;62623;51538
542;451;2155;7000;8;24;62461;52335
549;819;3001;7000;9;27;64498;54220
387;354;1815;7000;9;22;62480;51834
410;536;2298;7000;8;31;63015;52182
631;489;2971;7000;6;25;62505;50935
385;480;2058;7000;8;26;63762;53067
366;326;1599;7000;8;27;64453;53931
417;520;2615;7000;8;26;64245;53266
418;290;1687;7000;6;25;64074;52200
1868;868;7038;7000;5;20;64311;53346
1159;529;4110;7000;6;23;62962;51924
540;1097;2916;7000;13;26;64635;53426
451;444;2683;7000;7;23;64506;52965
1184;694;4318;7000;7;27;64493;53315
373;239;1468;7000;7;24;64912;53155
449;277;2169;7000;2;23;64304;52241
613;634;2486;7000;9;22;64153;52542
378;254;1507;7000;6;24;65318;54110
553;298;1990;7000;6;22;65526;54482
546;318;2261;7000;6;24;64569;53491
532;290;2586;7000;5;30;64636;53791
390;270;1789;7000;6;23;65371;53531
462;417;1838;7000;7;22;66447;57352
276;230;1052;7000;8;31;64530;53219
357;220;1323;7000;7;23;65412;54827
558;414;2326;7000;7;25;65203;53676
362;328;1798;7000;6;27;65753;54297
550;374;2047;7000;7;24;66458;55540
370;926;2300;7000;14;28;65387;53342
264;320;1370;7000;8;24;65260;53478
325;253;1094;7000;9;20;65779;54078
1088;630;4168;7000;8;27;65991;53708
550;390;2202;7000;7;25;65992;53617
389;297;1709;7000;7;24;65127;53392
1367;984;4991;7000;9;28;67715;59583
460;395;1899;7000;7;23;65448;53743
424;355;1856;7000;5;25;65519;53776
1050;169;3436;7000;2;23;65933;54209
370;248;1385;7000;7;24;66544;55735
438;296;2113;7000;6;26;66147;54138
472;299;1902;7000;6;23;67292;55819
1366;578;4787;7000;6;26;66786;53954
1225;2679;7815;7000;13;27;67259;55302
610;1057;2869;7000;13;27;67627;55778
413;257;1998;7000;6;26;66149;54066
405;220;1528;7000;6;24;66313;54819
320;449;1580;7000;9;21;66988;55590
288;268;1692;7000;6;24;66288;54524
626;324;2133;7000;7;24;66787;54316
860;421;3037;7000;6;25;67424;56332
910;680;3349;7000;8;23;68315;58757
623;503;2594;7200;8;13;66857;55326
611;508;2933;7200;7;36;67199;54801
589;411;2645;7200;6;23;68034;56868
924;623;3342;7200;7;13;67836;57504
427;309;2274;7200;8;18;68132;55661
591;899;3143;7200;11;14;67464;54686
313;330;1652;7200;7;14;67612;55282
430;467;2006;7200;9;16;68541;59501
418;309;1748;7200;8;14;68261;55628
592;841;3893;7200;9;29;68397;55555
410;565;2253;7200;13;16;67480;55300
536;370;2245;7200;7;12;68291;56846
547;445;2495;7200;8;26;67764;55279
531;729;3216;7200;7;15;67887;55132
473;647;2265;7200;14;32;68134;56425
353;654;1899;7200;14;13;69202;56230
468;782;3120;7200;11;13;68986;56972
491;263;2101;7200;8;18;69679;57272
592;694;3413;7200;11;14;69054;55560
393;378;1862;7200;8;16;69003;56375
367;586;2465;7200;10;13;69027;56639
325;455;1901;7200;11;16;69671;56474
411;348;2349;7200;8;27;70509;57281
393;291;1477;7980;8;30;70552;57729
484;319;2304;7980;6;30;70058;56895
261;393;1376;7980;11;31;69865;56320
342;219;1806;8000;8;29;71315;58623
409;266;1683;8000;6;26;71350;59272
393;286;1446;8000;8;13;71204;57476
627;404;2943;8000;7;28;70498;56854
348;423;1819;8000;12;15;71004;57559
379;284;1525;8000;8;14;71996;58844
1318;716;4898;8000;6;25;70627;57611
582;1233;3593;8000;15;30;70900;57650
508;450;2096;8000;9;26;72518;59743
1243;424;4545;8000;5;31;70803;57739
276;337;1421;8000;10;26;71381;57375
404;325;1486;8000;9;27;72071;59907
622;355;2426;8000;6;27;72219;58943
634;543;3266;8000;10;34;72322;58817
417;415;1837;8000;9;14;71603;59205
411;330;2352;8000;7;15;71850;58727
424;419;2052;8000;8;29;72805;61262
626;440;2537;8000;9;28;71675;58648
574;872;2810;8000;11;26;71973;58410
418;404;1887;8000;10;33;72099;59924
1277;890;4828;8000;8;31;72174;59431
568;380;2329;8000;8;32;72208;59874
317;466;2124;8000;10;28;71963;57955
547;679;3086;8000;12;19;71641;58104
543;305;1964;8000;7;25;73411;61339
1317;870;4761;8000;8;24;72610;59411
566;952;3143;8000;12;27;72107;58422
430;233;1672;8000;5;25;72986;58772
399;220;1598;8000;8;28;74303;60351
632;544;3013;8000;7;28;74224;60432
621;1080;3608;8000;12;30;74224;60432
1012;1448;6062;8000;11;36;73221;60091
301;238;1266;8000;7;32;73162;58906
1206;833;4400;8000;7;14;74064;60203
566;885;3059;8000;11;15;74069;59561
1722;703;5775;8000;4;23;73294;59968
1299;890;4643;8000;9;14;76761;66551
342;281;1768;8000;6;26;75475;62022
1889;1315;8368;8000;6;14;74586;59989
362;627;1925;8000;13;27;74663;60516
241;283;1539;8000;10;28;74425;60047
367;396;1910;8000;9;16;75015;60806
1892;2223;10254;8000;8;31;75272;60772
1414;609;5559;8000;5;32;75019;60628
910;627;3393;8000;8;17;75215;60493
366;548;2938;8000;13;45;74963;61566
474;773;2520;8000;11;30;76508;62655
469;337;1936;8000;8;33;74973;60389
546;711;2765;8000;10;28;75272;60925
603;946;3452;8000;11;29;75722;60893
267;377;1735;8000;12;17;75960;62089
623;342;2584;8000;6;27;76237;62288
422;344;1838;8000;7;31;75602;60654
319;159;1440;8000;4;28;76416;62188
364;302;1396;8000;10;30;76439;62033
1208;604;4630;8000;7;31;76911;62023
303;219;1255;8000;8;29;77289;62274
422;390;1936;8000;9;31;76315;62238
475;591;2340;8000;8;26;75723;60730
397;243;1646;8000;8;32;76436;62380
426;411;1940;8000;8;25;77058;62388
377;332;2375;8000;8;18;76935;61828
491;282;1997;8000;8;34;78440;65357
288;170;1135;8000;6;29;76939;63009
463;408;2399;8000;10;14;77360;62669
442;671;2010;8000;15;31;77534;62853
1381;721;5698;8000;5;26;78240;63068
588;547;2439;8000;9;30;78513;64636
437;541;2308;8000;12;17;77408;61882
390;229;1512;8000;8;27;78543;63942
313;231;1187;8000;6;27;77737;62743
414;809;2795;8000;15;31;78311;63999
386;309;1508;8000;8;28;77761;62482
1323;1955;7335;8000;9;25;78185;63461
382;272;1718;8000;7;29;78540;64954
386;664;2218;8000;11;25;77631;62632
729;743;3827;8000;10;35;78308;62975
350;409;1716;8000;11;14;79266;65566
1724;3283;9479;8000;11;28;78847;64172
365;666;1947;8000;13;26;78911;63535
574;545;2496;8000;11;13;79543;64017
463;341;1862;8000;8;27;80173;65338
1318;876;4982;8000;6;27;80069;65626
1298;1019;4717;8000;9;31;78766;62882
396;367;1876;8000;8;30;79262;63481
496;422;1877;8000;9;29;80120;64133
256;203;1312;8000;9;29;80482;65971
455;132;1577;8000;3;25;79342;64312
405;372;1604;8000;10;28;79701;63894
1363;1177;5009;8000;6;26;79206;63777
277;116;1242;8000;6;28;79356;63259
624;570;2731;8000;9;32;80092;64435
820;810;6272;8000;9;19;81169;67606
1350;776;5236;8000;7;26;81442;65306
1091;562;5203;8000;9;35;80433;65102
974;666;4093;8000;6;24;80891;64826
298;185;1189;8000;8;30;80528;64841
418;676;2346;8000;11;25;81093;64367
457;342;1928;8000;9;13;80574;65422
362;486;1567;8000;11;31;82054;66124
623;840;3579;8000;11;30;81492;65696
465;420;1866;8000;9;27;80678;64803
628;359;2361;8000;7;12;81305;64598
387;546;2309;8000;10;28;81404;65275
347;288;1532;8000;6;27;81564;65402
494;300;2125;8000;8;18;83000;67723
372;581;2064;8000;12;15;82775;67183
593;557;2491;8000;9;31;82341;65952
859;649;3481;8000;8;33;82330;65349
629;444;2772;8000;6;23;82338;65908
494;313;1928;8000;8;28;83163;66634
357;702;2312;8000;12;27;82631;66091
513;486;2191;8000;12;13;83142;65932
408;695;2318;8000;12;27;82455;66116
364;278;1393;8000;9;30;82878;66350
372;609;2030;8000;12;17;82984;67148
398;571;2456;8000;9;27;83435;69114
347;261;1535;8000;7;27;83350;67124
633;893;3658;8000;10;25;84966;70007
348;514;1839;8000;11;16;82802;66063
332;279;1533;8000;7;23;82870;66169
1151;490;4772;8000;5;29;83068;66225
378;322;1526;8000;9;25;84293;68220
416;679;2374;8000;13;36;83586;66922
385;260;1411;8000;8;29;83252;66976
470;812;3110;8000;13;20;83895;67440
357;375;1501;8000;10;32;84290;68111
626;639;2775;8000;8;18;85041;69095
572;599;2853;8000;10;28;83458;66618
355;313;1708;8000;9;33;84346;68908
588;537;2535;8000;7;24;85038;69391
440;329;1600;8000;9;28;84030;66758
464;306;1922;8000;6;16;84709;68664
545;434;2356;8000;7;27;85163;67851
1200;589;4485;8000;6;26;84506;67435
408;427;2045;8000;9;24;86394;70995
384;589;2309;8000;10;26;84885;67891
494;278;2121;8800;8;19;85650;69472
403;579;2328;8800;12;18;84961;68599
339;619;1991;8800;16;13;84927;68101
503;594;2487;8800;12;35;85657;69061
494;679;3088;8800;13;14;85672;67353
264;431;1823;8800;14;16;85461;67595
1138;627;4911;8800;6;19;86567;69582
379;607;2150;8800;12;15;86806;69285
766;777;4231;8800;8;16;85764;68171
629;673;3246;8800;8;15;85612;68941
443;293;1697;8800;8;15;86726;68551
551;584;2963;8800;10;15;86151;68277
451;631;2482;8800;12;14;86814;70229
581;329;2451;8800;6;13;86096;68537
419;301;1829;8800;7;13;86096;68537
590;857;3941;8800;12;17;87356;69514
414;995;2319;8800;16;30;87002;69792
933;870;4296;8800;8;12;87846;70477
627;317;2015;8800;8;16;87608;69990
385;407;2238;8800;10;15;87778;70868
394;564;2441;8800;12;15;87533;69245
439;889;2909;8800;15;36;87612;70888
254;508;2088;8800;12;38;87727;70638
487;727;3294;8800;9;34;87270;69400
423;285;1768;8800;9;37;89026;72544
432;283;1804;8800;7;15;87716;69344
412;537;2313;8800;10;18;88122;70545
418;344;1904;8980;10;37;87729;69468
417;259;1626;8980;8;34;88803;70712
672;745;2766;9000;11;33;88746;71387
379;504;2576;9000;10;35;88834;70486
233;173;1018;9000;7;26;88643;70970
356;288;1434;9000;9;33;89138;70196
624;1266;3853;9000;14;34;88715;71387
1238;711;4653;9000;6;30;89438;71697
1230;699;5026;9000;7;32;89060;71319
390;471;2092;9000;11;28;88812;70531
385;397;1633;9000;11;33;90313;72607
967;1381;6536;9000;9;29;89071;71114
376;620;2391;9000;11;27;89864;71263
397;524;1579;9000;13;24;90007;71677
362;306;1455;9000;9;32;89957;71596
1363;1242;5330;9000;9;32;89972;72043
1371;783;5052;9000;6;27;89791;71156
232;221;1143;9000;8;27;90318;72632
1200;516;4270;9000;6;26;92502;74423
392;316;1877;9000;8;29;91124;72796
599;596;2983;9000;9;30;90339;71591
1896;2009;10122;9000;9;31;91547;72381
559;1072;3607;9000;13;32;92247;73662
443;524;2416;9000;10;30;91137;72212
421;603;2191;9000;10;33;91184;72838
632;992;4187;9000;11;33;91292;73262
341;425;1883;9000;11;32;91404;73838
1194;1982;7163;9000;9;32;92658;73633
633;405;2770;9000;8;32;91255;72406
500;278;2706;9000;5;37;92161;73811
401;618;2511;9000;11;35;92722;74297
1160;622;4625;9000;5;26;92282;72986
414;738;2537;9000;13;36;92594;73283
547;377;2274;9000;8;30;92668;72823
319;154;1245;9000;7;36;91885;73796
1180;567;4303;9000;5;32;92473;73034
441;634;2015;9000;11;27;93368;75749
389;680;2201;9000;13;28;92713;72444
347;550;2055;9000;12;30;93134;74433
411;282;1776;9000;7;26;93234;74547
354;264;1733;9000;7;34;93688;74507
344;529;1490;9000;13;33;92260;73205
851;487;5126;9000;7;36;92800;75591
675;690;3382;9000;10;40;93208;73704
362;640;2104;9000;13;30;92616;73970
